cost_type,plant_id,material_id,customer_id,cost_per_unit,currency
Production,PLANT001,SKU001,,480.00,USD
Production,PLANT001,SKU002,,690.00,USD
Production,PLANT001,SKU003,,128.00,USD
Production,PLANT001,SKU004,,192.00,USD
Production,PLANT001,SKU005,,340.00,USD
Production,PLANT001,SKU006,,620.00,USD
Production,PLANT002,SKU007,,90.00,USD
Production,PLANT002,SKU008,,48.00,USD
Production,PLANT002,SKU009,,37.00,USD
Production,PLANT002,SKU010,,58.00,USD
Production,PLANT003,SKU011,,295.00,USD
Production,PLANT003,SKU012,,445.00,USD
Production,PLANT003,SKU013,,400.00,USD
Production,PLANT003,SKU014,,760.00,USD
Production,PLANT003,SKU015,,100.00,USD
Transportation,PLANT001,,CUST001,15.00,USD
Transportation,PLANT001,,CUST002,22.00,USD
Transportation,PLANT001,,CUST003,18.00,USD
Transportation,PLANT001,,CUST004,20.00,USD
Transportation,PLANT001,,CUST005,25.00,USD
Transportation,PLANT002,,CUST001,12.00,USD
Transportation,PLANT002,,CUST002,18.00,USD
Transportation,PLANT002,,CUST006,16.00,USD
Transportation,PLANT002,,CUST007,22.00,USD
Transportation,PLANT002,,CUST008,20.00,USD
Transportation,PLANT003,,CUST003,14.00,USD
Transportation,PLANT003,,CUST004,16.00,USD
Transportation,PLANT003,,CUST009,24.00,USD
Transportation,PLANT003,,CUST010,28.00,USD
Holding,PLANT001,SKU001,,2.50,USD
Holding,PLANT001,SKU002,,3.50,USD
Holding,PLANT002,SKU007,,0.45,USD
Holding,PLANT002,SKU008,,0.25,USD
Holding,PLANT003,SKU011,,1.50,USD
Holding,PLANT003,SKU013,,2.00,USD
